Núcleo físico,Uso (%),Frecuencia (MHz),Temperatura (°C),Hilos asociados
0,21.0,3287.7870000000003,34.9375,2
1,20.6,2808.969,34.9375,2
2,24.85,3293.931,34.9375,2
3,23.1,3294.7124999999996,34.9375,2
4,22.95,3299.6364999999996,34.9375,2
5,36.75,3294.5105,34.9375,2
6,22.6,3298.0755,34.9375,2
7,21.5,3306.3244999999997,34.9375,2
8,27.200000000000003,3294.2290000000003,34.9375,2
9,19.7,3297.568,34.9375,2
10,29.950000000000003,2826.0995000000003,34.9375,2
11,22.799999999999997,3300.693,34.9375,2
12,28.15,3300.9415,34.9375,2
13,25.75,2329.284,34.9375,2
14,44.85,3280.8675000000003,34.9375,2
15,40.6,3279.5055,34.9375,2
16,24.9,3295.1695,34.9375,2
17,24.4,3132.8635000000004,34.9375,2
18,22.95,3295.8990000000003,34.9375,2
19,22.0,3290.065,34.9375,2
20,24.5,3293.441,34.9375,2
21,42.8,3279.0460000000003,34.9375,2
22,58.7,3282.091,34.9375,2
23,63.0,3285.097,34.9375,2
24,27.15,3293.5455,34.9375,2
25,38.35,3296.1890000000003,34.9375,2
26,23.45,2798.993,34.9375,2
27,50.75,3300.0029999999997,34.9375,2
28,27.85,3297.5299999999997,34.9375,2
29,27.0,1944.9180000000001,34.9375,2
30,25.25,3294.736,34.9375,2
31,40.2,3297.379,34.9375,2
